날짜,경원선,역이름,타는인원,내린 인원
20190326,경원선,소요산,3882,3265
20190326,경원선,동두천,2950,3382
20190326,경원선,보산,1797,1672
20190326,경원선,동두천중앙,4374,4188
20190326,경원선,지행,8550,8371
20190326,경원선,덕정,8762,8690
20190326,경원선,덕계,2610,2277
20190326,경원선,양주,10571,9461
20190326,경원선,녹양,5879,5403
20190326,경원선,가능,8259,7926
20190326,경원선,의정부,21855,22658
20190326,경원선,회룡,15523,14904
20190326,경원선,망월사,12026,12056
20190326,경원선,도봉산,9399,6027
20190326,경원선,도봉,7383,7058
20190326,경원선,방학,11900,11387
20190326,경원선,녹천,6084,5046
20190326,경원선,월계,9633,8746
20190326,경원선,광운대,12901,12502
20190326,경원선,석계,11448,12718
20190326,경원선,신이문,10831,9683
20190326,경원선,외대앞,13663,13421
20190326,경원선,청량리(서울시립대입구),16676,18429
20190326,경원선,왕십리(성동구청),18279,19081
20190326,경원선,응봉,2510,2227
20190326,경원선,옥수,46,36
20190326,경원선,한남,5298,5000
20190326,경원선,서빙고,2233,2139
20190326,경원선,이촌(국립중앙박물관),5062,3772
