날짜,중앙선,역이름,타는인원,내린 인원
20190326,중앙선,지평,82,45
20190326,중앙선,용문,2143,2168
20190326,중앙선,원덕,452,457
20190326,중앙선,양평,3522,3531
20190326,중앙선,오빈,374,370
20190326,중앙선,아신,831,852
20190326,중앙선,국수,948,900
20190326,중앙선,신원,257,186
20190326,중앙선,양수,2079,2165
20190326,중앙선,운길산,867,759
20190326,중앙선,팔당,735,748
20190326,중앙선,도심,3200,2489
20190326,중앙선,덕소,7267,7214
20190326,중앙선,양정,1038,880
20190326,중앙선,도농,11578,10198
20190326,중앙선,구리,16465,16870
20190326,중앙선,양원,2178,2239
20190326,중앙선,망우,9018,8908
20190326,중앙선,상봉(시외버스터미널),6564,6328
20190326,중앙선,중랑,6582,6261
20190326,중앙선,회기,35530,34887
