날짜,4호선,역이름,타는인원,내린 인원
20190326,4호선,남태령,1830,1521
20190326,4호선,사당,33084,28879
20190326,4호선,총신대입구(이수),24741,27302
20190326,4호선,동작(현충원),2905,2975
20190326,4호선,이촌(국립중앙박물관),8965,10292
20190326,4호선,신용산,18677,19784
20190326,4호선,삼각지,6020,6748
20190326,4호선,숙대입구(갈월),21033,20494
20190326,4호선,서울역,16415,24860
20190326,4호선,회현(남대문시장),37169,39460
20190326,4호선,명동,44913,47447
20190326,4호선,충무로,40692,40909
20190326,4호선,동대문역사문화공원,23970,21841
20190326,4호선,동대문,29374,29408
20190326,4호선,혜화,43175,43790
20190326,4호선,한성대입구(삼선교),20317,19469
20190326,4호선,성신여대입구(돈암),28908,27281
20190326,4호선,길음,29326,28929
20190326,4호선,미아사거리,33812,32586
20190326,4호선,미아(서울사이버대학),20328,19353
20190326,4호선,수유(강북구청),43724,43334
20190326,4호선,쌍문,37880,34345
20190326,4호선,창동,32773,34902
20190326,4호선,노원,24197,26921
20190326,4호선,상계,24884,22356
20190326,4호선,당고개,15040,14408
