날짜,경부선,역이름,타는인원,내린 인원
20190326,경부선,광명,3026,2372
20190326,경부선,서동탄,2030,1683
20190326,경부선,당정,9599,9150
20190326,경부선,천안,9181,7619
20190326,경부선,두정,7852,8993
20190326,경부선,직산,1062,1087
20190326,경부선,성환,7589,7278
20190326,경부선,평택,15080,14863
20190326,경부선,지제,2809,2640
20190326,경부선,서정리,6641,6311
20190326,경부선,송탄,5259,5111
20190326,경부선,진위,1952,1727
20190326,경부선,오산,11385,11099
20190326,경부선,오산대,4854,4579
20190326,경부선,세마,3443,3093
20190326,경부선,병점,20746,20632
20190326,경부선,세류,4386,4080
20190326,경부선,독산,20224,21378
20190326,경부선,수원,49285,52079
20190326,경부선,화서,10166,10217
20190326,경부선,성균관대,19795,19055
20190326,경부선,의왕,11216,10963
20190326,경부선,군포,9063,8941
20190326,경부선,금정,31547,32332
20190326,경부선,명학,13567,13614
20190326,경부선,안양,35738,35431
20190326,경부선,관악,10027,9443
20190326,경부선,석수,13951,12505
20190326,경부선,금천구청,14530,14214
20190326,경부선,가산디지털단지,20698,23854
20190326,경부선,구로,23653,24299
20190326,경부선,신길,11761,9719
20190326,경부선,신도림,4691,4581
20190326,경부선,영등포,47791,49954
20190326,경부선,대방,17578,17799
20190326,경부선,노량진,13413,12879
20190326,경부선,용산,37683,38729
20190326,경부선,남영,13972,15025
20190326,경부선,서울역,5551,1273
