날짜,경의선,역이름,타는인원,내린 인원
20190326,경의선,계양,1,0
20190326,경의선,김포공항,1,0
20190326,경의선,서울역,1,0
20190326,경의선,문산,6625,6392
20190326,경의선,파주,2788,2138
20190326,경의선,월롱,3725,3480
20190326,경의선,금촌,8222,8147
20190326,경의선,금릉,5353,5341
20190326,경의선,운정,7125,6697
20190326,경의선,야당,6127,5821
20190326,경의선,탄현,9209,8920
20190326,경의선,일산,11522,11349
20190326,경의선,풍산,6468,5978
20190326,경의선,백마,8531,7988
20190326,경의선,곡산,658,708
20190326,경의선,능곡,4550,4088
20190326,경의선,행신,9501,9357
20190326,경의선,강매,3652,2998
20190326,경의선,화전,4361,4303
20190326,경의선,수색,2916,2943
20190326,경의선,디지털미디어시티,2611,2647
20190326,경의선,가좌,6447,5896
20190326,경의선,홍대입구,1950,2281
20190326,경의선,서강대,2610,2710
20190326,경의선,공덕,4123,3546
20190326,경의선,효창공원앞,3593,3685
20190326,경의선,신촌,1232,1605
20190326,경의선,서울역,4685,6460
