날짜,경인선,역이름,타는인원,내린 인원
20190326,경인선,도화,4970,4501
20190326,경인선,중동,11719,10977
20190326,경인선,온수(성공회대입구),9266,9099
20190326,경인선,도원,5465,5542
20190326,경인선,간석,7899,7447
20190326,경인선,부개,11542,10713
20190326,경인선,소사,13155,12653
20190326,경인선,구일,9168,9300
20190326,경인선,인천,4355,3444
20190326,경인선,동인천,18518,17587
20190326,경인선,제물포,14438,13728
20190326,경인선,주안,27503,25483
20190326,경인선,동암,20549,20462
20190326,경인선,백운,9990,9819
20190326,경인선,부평,38729,41468
20190326,경인선,송내,39153,39336
20190326,경인선,부천,44114,44308
20190326,경인선,역곡,38437,37376
20190326,경인선,오류동,14089,13195
20190326,경인선,개봉,28305,28252
